"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"32","144.76405761472657","154.04329037379895","0.037841796875","0.033447265625","0.042236328125","1560","0.0002829198556654924","24","0.0002829198556654924","0","0.0002829198556654924","0.0002829198556654924","31:68;33:68","31:0.04073058790814563","31:0.009750962626995041","0.037841796875","Yes"
"33","142.3817003019215","92.91949684832338","0.01953125","0.028564453125","0.010498046875","1560","0.00019112553579829044","24","0.00019112553579829044","0","0.00019112553579829044","0.00019112553579829044","39:68;32:68;34:68","39:0.0019783076898204077;34:0.0021916296445476657","39:0.002000216725630638;34:0.0020988831813721076","0.01953125","Yes"
"34","193.81590840903732","87.325674234901","0.0166015625","0.01904296875","0.01416015625","1560","0.0006688283866584914","24","0.0006688283866584914","0","0.0006688283866584914","0.0006688283866584914","33:68;35:68","33:0.0021916296445476657;35:0.0017694041229645574","33:0.0020988831813721076;35:0.001713520216926001","0.0166015625","Yes"
"35","206.7936082538515","43.66241493397441","0.0146484375","0.0224609375","0.0068359375","1560","0.000218243463738494","24","0.000218243463738494","0","0.000218243463738494","0.000218243463738494","19:68;34:68","19:0.001611409240053624;34:0.0017694041229645574","19:0.001781931595321612;34:0.001713520216926001","0.0146484375","Yes"
"36","131.73244774814228","131.0558041524674","0.0150146484375","0.010986328125","0.01904296875","1560","0.0004246854757322451","24","0.0004246854757322451","0","0.0004246854757322451","0.0004246854757322451","41:68;21:68","41:0.001882751350293671;21:0.009646916622369883","41:0.0023233580099382423;21:0.006454245439071998","0.0150146484375","Yes"
"37","193.53733509651482","188.62699034857184","0.0107421875","0.016845703125","0.004638671875","1560","0.00044818261641402945","24","0.00044818261641402945","0","0.00044818261641402945","0.00044818261641402945","45:68;25:68","45:0.0018483487699551826;25:0.0016328778615250228","45:0.0016924451189244127;25:0.0015969148156048663","0.0107421875","Yes"
"38","120.32896641876786","128.9312468347598","0.0087890625","0.013427734375","0.004150390625","1560","0.0002526732252171974","24","0.0002526732252171974","0","0.0002526732252171974","0.0002526732252171974","29:68;49:68","29:0.0020785083426669015;49:0.0032394320896872164","29:0.002233093106189632;49:0.0027399180694498704","0.0087890625","Yes"
"39","187.59446551723883","224.7039984881172","0.0172119140625","0.02001953125","0.014404296875","1560","0.0006022159405062102","24","0.0006022159405062102","0","0.0006022159405062102","0.0006022159405062102","53:68;33:68","53:0.0059043218502426165;33:0.0019783076898204077","53:0.004295909263283243;33:0.002000216725630638","0.0172119140625","Yes"
"40","120.3948569712532","112.65415697106724","0.025390625","0.028076171875","0.022705078125","1560","0.00025009767899967356","24","0.00025009767899967356","0","0.00025009767899967356","0.00025009767899967356","41:68","41:0.0015452585080087955","41:0.0017250258950388397","0.025390625","Yes"
"41","189.1699582680106","130.42343098799444","0.1279296875","0.163818359375","0.092041015625","1560","0.00015592525189430114","24","0.00015592525189430114","0","0.00015592525189430114","0.00015592525189430114","40:68;42:68;36:68","40:0.0015452585080087955;42:0.002143103767760335;36:0.001882751350293671","40:0.0017250258950388397;42:0.002319660522660222;36:0.0023233580099382423","0.1279296875","Yes"
