Qubit,T1 (us),T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rx Error,Gate Length (ns),cz Error,rzz Error
48,122.904873901914,47.345978281863054,0.013671875,0.006591796875,24,0.0003342857690512,0.0003342857690512,0.0003342857690512,47:68;49:68,47:0.0017823944426606508;49:0.0023572227974044957,47:0.0017761687133842075;49:0.014516833576667165
49,113.48203795229244,24.60138999881944,0.04052734375,0.047119140625,24,0.0004157193748432,0.0004157193748432,0.0004157193748432,48:68;50:68;38:68,48:0.0023572227974044957;50:0.00849225824282332;38:0.0032394320896872164,48:0.014516833576667165;50:0.005025641016990684;38:0.0027399180694498704
50,174.0823092030642,154.3601169028429,0.008056640625,0.008544921875,24,0.0002868951418773,0.0002868951418773,0.0002868951418773,49:68;51:68,49:0.00849225824282332;51:0.00851693410070542,49:0.005025641016990684;51:0.0024802070936037757
51,110.0877984864195,85.13660774750907,0.1083984375,0.179931640625,24,0.0002610905293595,0.0002610905293595,0.0002610905293595,50:68;52:68;58:68,50:0.00851693410070542;52:0.0017888836988634582;58:0.0025577952329879083,50:0.0024802070936037757;52:0.0026465796503930827;58:0.002509740747047351
52,206.82806072019716,145.90167874666471,0.04150390625,0.01708984375,24,0.0002554583055046,0.0002554583055046,0.0002554583055046,51:68;53:68,51:0.0017888836988634582;53:0.0021361456620094255,51:0.0026465796503930827;53:0.0020401469193988553
53,135.3017002124927,12.54455348269194,0.1513671875,0.153076171875,24,0.0004016261416148,0.0004016261416148,0.0004016261416148,39:68;52:68;54:68,39:0.0059043218502426165;52:0.0021361456620094255;54:0.004681835421720293,39:0.004295909263283243;52:0.0020401469193988553;54:0.006781184496211817
54,100.25356262226796,112.90543047250128,0.012451171875,0.0107421875,24,0.0007055114674573,0.0007055114674573,0.0007055114674573,53:68;55:68,53:0.004681835421720293;55:0.002612669385792604,53:0.006781184496211817;55:0.00425581541856998
55,152.00349514991973,137.45542605135884,0.130126953125,0.12939453125,24,0.0002976865397225,0.0002976865397225,0.0002976865397225,59:68;54:68,59:0.0020209206801636015;54:0.002612669385792604,59:0.0028899740764598003;54:0.00425581541856998
56,184.00313216512316,217.7564319228759,0.017822265625,0.015380859375,24,0.0004467077805314,0.0004467077805314,0.0004467077805314,63:68;43:68,63:0.004619227151271277;43:0.006237104113822889,63:0.005109899365541404;43:0.006162099185841374
57,139.44343330864052,72.75888629837901,0.020263671875,0.0009765625,24,0.0010178460757172,0.0010178460757172,0.0010178460757172,47:68;67:68,47:0.013800056599312632;67:0.03454732347816211,47:0.0026253578687719104;67:0.02710212929468392
58,106.4758388617361,122.22036717333648,0.017578125,0.002685546875,24,0.0003570761177133,0.0003570761177133,0.0003570761177133,71:68;51:68,71:0.0022935020942840834;51:0.0025577952329879083,71:0.002281032020998608;51:0.002509740747047351
59,184.68415451840545,165.3887257988512,0.017333984375,0.013427734375,24,0.0003761027390428,0.0003761027390428,0.0003761027390428,55:68;75:68,55:0.0020209206801636015;75:0.0034504701900915646,55:0.0028899740764598003;75:0.002893386494168454
60,133.1229056178256,37.31811638064764,0.05712890625,0.035888671875,24,0.0004768717878813,0.0004768717878813,0.0004768717878813,61:68,61:0.0019560931645984936,61:0.0020417524186137626
61,213.72898232610493,104.29310531517596,0.0751953125,0.042236328125,24,0.0001594913208184,0.0001594913208184,0.0001594913208184,76:68;60:68;62:68,76:0.002556362983203303;60:0.0019560931645984936;62:0.0022964723934455478,76:0.002467019031701323;60:0.0020417524186137626;62:0.0035352272491717407
62,105.9910502447906,41.115229940823696,0.03173828125,0.029296875,24,0.0005609669590818,0.0005609669590818,0.0005609669590818,61:68;63:68,61:0.0022964723934455478;63:0.007047337014702615,61:0.0035352272491717407;63:0.010790159438233277
63,169.36733350232777,13.41093752628556,0.10205078125,0.051025390625,24,0.0006113131475414,0.0006113131475414,0.0006113131475414,56:68;62:68;64:68,56:0.004619227151271277;62:0.007047337014702615;64:0.04874245828389334,56:0.005109899365541404;62:0.010790159438233277;64:0.11193595532690664
64,141.62737403337715,127.13874407769774,0.009765625,0.000732421875,24,0.0002593675609255,0.0002593675609255,0.0002593675609255,65:68;63:68,65:0.0029811211869696375;63:0.04874245828389334,65:0.003027375842853952;63:0.11193595532690664
65,118.4999954498364,74.8568409999175,0.10791015625,0.053466796875,24,0.0004057527253076,0.0004057527253076,0.0004057527253076,64:68;66:68;77:68,64:0.0029811211869696375;66:0.0024879758819406628;77:0.004277772619630749,64:0.003027375842853952;66:0.0041311272116485165;77:0.00387843744731603
66,115.70739763967126,17.147297464124286,0.010009765625,0.00634765625,24,0.0002106866399217,0.0002106866399217,0.0002106866399217,65:68;67:68,65:0.0024879758819406628;67:0.0032270699576392725,65:0.0041311272116485165;67:0.0026986497995093728
67,157.1356954274311,50.96460080493222,0.081787109375,0.022216796875,24,0.0004055244103512,0.0004055244103512,0.0004055244103512,68:68;57:68;66:68,68:0.0024438066473450037;57:0.03454732347816211;66:0.0032270699576392725,68:0.002537921005193844;57:0.02710212929468392;66:0.0026986497995093728
68,132.5866539860281,108.73471309639534,0.01708984375,0.00830078125,24,0.0006168924275769,0.0006168924275769,0.0006168924275769,67:68;69:68,67:0.0024438066473450037;69:0.0034173963652418815,67:0.002537921005193844;69:0.004200477254799301
69,126.91899182288614,74.51548913063029,0.041748046875,0.023193359375,24,0.0003658539200935,0.0003658539200935,0.0003658539200935,78:68;68:68;70:68,78:0.0028453170091113644;68:0.0034173963652418815;70:0.004049236693102365,78:0.0025854917009583145;68:0.004200477254799301;70:0.0033731269834760824
70,144.2222381871751,85.12422877719368,0.011962890625,0.00390625,24,0.0003336760716722,0.0003336760716722,0.0003336760716722,69:68;71:68,69:0.004049236693102365;71:0.002992478207996002,69:0.0033731269834760824;71:0.0029300885386450426
71,191.65148582039063,142.51176633105587,0.027099609375,0.028076171875,24,0.0003792256931111,0.0003792256931111,0.0003792256931111,72:68;58:68;70:68,58:0.0022935020942840834;70:0.002992478207996002,72:0.0857042431569327;58:0.002281032020998608;70:0.0029300885386450426
72,10.45933541992336,99.15649886504497,0.123291015625,0.8251953125,24,,,,73:68;71:68,,73:0.00046815127554875047;71:0.0857042431569327
73,120.02254907076212,72.45244979117544,0.07958984375,0.076904296875,24,0.0002445175626796,0.0002445175626796,0.0002445175626796,72:68;74:68;79:68,74:0.0025046333657340603;79:0.002492003265308712,72:0.00046815127554875047;74:0.0021901898808044384;79:0.01246008845347274
74,129.11164972263148,122.79149423202216,0.01123046875,0.012451171875,24,0.0004769015026412,0.0004769015026412,0.0004769015026412,73:68;75:68,73:0.0025046333657340603;75:0.0025664436819188285,73:0.0021901898808044384;75:0.001895570606269742
75,231.60043899262607,195.24322496022572,0.01953125,0.008544921875,24,0.0003306631587998,0.0003306631587998,0.0003306631587998,59:68;74:68,59:0.0034504701900915646;74:0.0025664436819188285,59:0.002893386494168454;74:0.001895570606269742
76,195.480558283218,107.46452815315251,0.10986328125,0.03125,24,0.000611977977267,0.000611977977267,0.000611977977267,81:68;61:68,81:0.001807219619475553;61:0.002556362983203303,81:0.0017348245691564401;61:0.002467019031701323
77,106.82592610951396,45.91743006733876,0.023681640625,0.0048828125,24,0.0004238758260889,0.0004238758260889,0.0004238758260889,85:68;65:68,85:0.002894110843671166;65:0.004277772619630749,85:0.0027689946339422566;65:0.00387843744731603
78,93.33161533214202,91.4604789915506,0.02783203125,0.029296875,24,0.0003620081382441,0.0003620081382441,0.0003620081382441,69:68;89:68,69:0.0028453170091113644;89:0.0034967759213470617,69:0.0025854917009583145;89:0.0025365493594613486
79,76.46883815185016,43.77976602099745,0.016357421875,0.00439453125,24,0.0002877935201769,0.0002877935201769,0.0002877935201769,93:68;73:68,93:0.0031686049522545445;73:0.002492003265308712,93:0.002352839816684632;73:0.01246008845347274
80,161.74388554105536,116.07202814927902,0.030517578125,0.005615234375,24,0.0002834383736412,0.0002834383736412,0.0002834383736412,81:68,81:0.0019131489127831303,81:0.003097352748632959
81,167.51646861584493,20.779445680850557,0.058349609375,0.0166015625,24,0.0001784981306448,0.0001784981306448,0.0001784981306448,80:68;82:68;76:68,80:0.0019131489127831303;82:0.0036008160041757498;76:0.001807219619475553,80:0.003097352748632959;82:0.00986625783073325;76:0.0017348245691564401
82,123.30571949369208,37.62288860759601,0.020263671875,0.001953125,24,0.0003114365380768,0.0003114365380768,0.0003114365380768,81:68;83:68,81:0.0036008160041757498;83:0.014841051502026914,81:0.00986625783073325;83:0.0030625441663215125
83,110.81116968324456,49.87681912433112,0.25244140625,0.19580078125,24,0.0001202057812022,0.0001202057812022,0.0001202057812022,96:68;82:68;84:68,96:0.0038151200246018535;82:0.014841051502026914;84:0.0024184216970029038,96:0.00309986217905317;82:0.0030625441663215125;84:0.0027666213055409505
84,102.27328129874743,120.87628322295028,0.0107421875,0.001953125,24,0.0003251856177769,0.0003251856177769,0.0003251856177769,83:68;85:68,83:0.0024184216970029038;85:0.0023546978104030114,83:0.0027666213055409505;85:0.0022322222729165564
85,167.05894071585297,41.40639130363572,0.01904296875,0.017333984375,24,0.0003902601575984,0.0003902601575984,0.0003902601575984,77:68;86:68;84:68,77:0.002894110843671166;86:0.003189471692897683;84:0.0023546978104030114,77:0.0027689946339422566;86:0.0031092447767204767;84:0.0022322222729165564
86,96.63705731876344,94.4381474693578,0.012451171875,0.00927734375,24,0.0002780454515834,0.0002780454515834,0.0002780454515834,85:68;87:68,85:0.003189471692897683;87:0.0019220614530720825,85:0.0031092447767204767;87:0.0016357553813772518
87,86.07312063359903,121.46319304942666,0.0869140625,0.0615234375,24,0.0003939373526418,0.0003939373526418,0.0003939373526418,86:68;88:68;97:68,86:0.0019220614530720825;88:0.0022774095441803477;97:0.002679649657316374,86:0.0016357553813772518;88:0.0021645487193804047;97:0.0021861673265625714
88,184.6193817840491,237.77366688512825,0.009033203125,0.00439453125,24,0.0002790226873128,0.0002790226873128,0.0002790226873128,87:68;89:68,87:0.0022774095441803477;89:0.002406198998683523,87:0.0021645487193804047;89:0.0019743617386054624
89,153.51026027850776,82.02591075495782,0.025390625,0.018310546875,24,0.0004389353842981,0.0004389353842981,0.0004389353842981,90:68;88:68;78:68,90:0.002953447263003728;88:0.002406198998683523;78:0.0034967759213470617,90:0.0021992009068729224;88:0.0019743617386054624;78:0.0025365493594613486
90,144.6241589607774,141.19120774418715,0.007080078125,0.007568359375,24,0.0002952800987191,0.0002952800987191,0.0002952800987191,89:68;91:68,89:0.002953447263003728;91:0.0036575403609709622,89:0.0021992009068729224;91:0.004135368650956955
91,140.5625587620654,20.672605430869726,0.0625,0.046630859375,24,0.0003036923794731,0.0003036923794731,0.0003036923794731,98:68;90:68;92:68,98:0.0031172309582982727;90:0.0036575403609709622;92:0.0022615836859651017,98:0.002548114237671012;90:0.004135368650956955;92:0.0034420731422999673
92,156.6427991368963,217.6413073173331,0.01611328125,0.00146484375,24,0.0003125590981522,0.0003125590981522,0.0003125590981522,91:68;93:68,91:0.0022615836859651017;93:0.0023758410213748637,91:0.0034420731422999673;93:0.002444884331867625
93,189.3224567428551,161.28635667269404,0.039794921875,0.009033203125,24,0.0003016941849701,0.0003016941849701,0.0003016941849701,94:68;79:68;92:68,94:0.0029077304743995447;79:0.0031686049522545445;92:0.0023758410213748637,94:0.002279464438291967;79:0.002352839816684632;92:0.002444884331867625
94,133.65610838378038,67.05102544995323,0.060791015625,0.005615234375,24,0.0002360050378347,0.0002360050378347,0.0002360050378347,93:68;95:68,93:0.0029077304743995447;95:0.0021364271383513267,93:0.002279464438291967;95:0.0022589407298542197
95,134.54618107285324,136.79699044278863,0.0234375,0.00390625,24,0.0002490123552808,0.0002490123552808,0.0002490123552808,99:68;94:68,99:0.0021667462747112787;94:0.0021364271383513267,94:0.0022589407298542197
96,178.0022432877198,166.83559574903973,0.025390625,0.001220703125,24,0.000307291125529,0.000307291125529,0.000307291125529,83:68;103:68,83:0.0038151200246018535;103:0.0033916569192780077,83:0.00309986217905317;103:0.003115305071271085
97,95.66453489047146,95.71810212940096,0.011474609375,0.00537109375,24,0.0004914404469638,0.0004914404469638,0.0004914404469638,87:68;107:68,87:0.002679649657316374;107:0.0016760035655051797,87:0.0021861673265625714;107:0.0018138545156938246
98,117.63868262317332,18.181036869199804,0.010009765625,0.00634765625,24,0.0002011054910567,0.0002011054910567,0.0002011054910567,91:68;111:68,91:0.0031172309582982727;111:0.002523617956813995,91:0.002548114237671012;111:0.0048076261614873605
99,142.38201069660758,31.31664118568621,0.034423828125,0.02734375,24,0.0002526655863876,0.0002526655863876,0.0002526655863876,115:68;95:68,115:0.0016140585408352115;95:0.0021667462747112787,
100,229.804861352161,33.37271186484173,0.0400390625,0.025390625,24,0.0005961568907192,0.0005961568907192,0.0005961568907192,101:68,101:0.0031157243372532673,101:0.0032724479114193405
101,216.7160778188926,238.1009252213125,0.081787109375,0.047607421875,24,0.000408501934894,0.000408501934894,0.000408501934894,100:68;116:68;102:68,100:0.0031157243372532673;116:0.0027743053034857135;102:0.003062696892937533,100:0.0032724479114193405;116:0.002239802258531487;102:0.002525307937808474
102,76.68626185720696,64.33088398162074,0.0390625,0.003173828125,24,0.0004038406812882,0.0004038406812882,0.0004038406812882,101:68;103:88,101:0.003062696892937533;103:0.0027434424652797162,101:0.002525307937808474;103:0.0024690248824865424
103,119.66093541580884,129.03548180621033,0.02978515625,0.0068359375,24,0.0002245138696753,0.0002245138696753,0.0002245138696753,104:68;96:68;102:88,104:0.0018739295686126811;96:0.0033916569192780077;102:0.0027434424652797162,104:0.002064072295419217;96:0.003115305071271085;102:0.0024690248824865424
104,94.3986553754345,89.84321894017083,0.014892578125,0.0166015625,24,0.0002581951939475,0.0002581951939475,0.0002581951939475,103:68;105:68,103:0.0018739295686126811;105:0.0023348850316119163,103:0.002064072295419217;105:0.0022006915431061203
105,174.03815994785538,157.07917482552483,0.02880859375,0.035888671875,24,0.00042792158046,0.00042792158046,0.00042792158046,104:68;106:68;117:68,104:0.0023348850316119163;106:0.0018537676309171303;117:0.0020846684247703973,104:0.0022006915431061203;106:0.0018182102072182016;117:0.002502100789064432
106,150.5604134062124,179.4161517738661,0.011474609375,0.00537109375,24,0.0002244850810287,0.0002244850810287,0.0002244850810287,107:68;105:68,107:0.0017292279135408262;105:0.0018537676309171303,107:0.003062787433833064;105:0.0018182102072182016
107,71.3587520044645,22.129438742290034,0.01611328125,0.01123046875,24,0.000670492648649,0.000670492648649,0.000670492648649,106:68;108:68;97:68,106:0.0017292279135408262;108:0.0020865447906655565;97:0.0016760035655051797,106:0.003062787433833064;108:0.0019813339254732276;97:0.0018138545156938246
108,165.6758128284985,150.20241882877494,0.014892578125,0.010986328125,24,0.0003010736081794,0.0003010736081794,0.0003010736081794,107:68;109:68,107:0.0020865447906655565;109:0.0030817734003436847,107:0.0019813339254732276;109:0.00161651057961415
109,109.89480029918316,58.14503889373066,0.015380859375,0.0087890625,24,0.0003095049327686,0.0003095049327686,0.0003095049327686,108:68;110:68;118:68,108:0.0030817734003436847;110:0.0037196160370193965;118:0.0037464228577784864,108:0.00161651057961415;110:0.0023519320477160544;118:0.002817557033761686
110,72.80692409205558,46.568067648654,0.006591796875,0.001953125,24,0.0002883563290604,0.0002883563290604,0.0002883563290604,109:68;111:68,109:0.0037196160370193965;111:0.0023266484438046187,109:0.0023519320477160544;111:0.004236614964172242
111,193.81624574785764,113.25857270371723,0.038330078125,0.023193359375,24,0.0002427937463769,0.0002427937463769,0.0002427937463769,112:68;110:68;98:68,112:0.003885807805516117;110:0.0023266484438046187;98:0.002523617956813995,112:0.004021484404904768;110:0.004236614964172242;98:0.0048076261614873605
