Qubit,T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rz Error,rx Error,Gate Length (ns),cz Error,rzz Error
67,91.61057578363804,0.911865234375,0.03125,36,0.0002252316328361,0.0002252316328361,0,0.0002252316328361,68:68;57:68;66:68,68:0.004095874490266133;57:0.002155396255296871;66:0.0026393847809711712,68:0.004166684052516079;57:0.002443027557046229;66:0.0018329144839089595
68,36.45322981245446,0.016845703125,0.003173828125,36,0.0006178589233536,0.0006178589233536,0,0.0006178589233536,67:68;69:68,67:0.004095874490266133;69:0.002115198930743245,67:0.004166684052516079;69:0.0026475454617359007
69,67.80853862789868,0.028564453125,0.0166015625,36,0.0001861977608596,0.0001861977608596,0,0.0001861977608596,78:68;68:68;70:80,78:0.0018448630008241762;68:0.002115198930743245;70:0.0019355161992810899,78:0.0026115182389842284;68:0.0026475454617359007;70:0.0016882910582845245
70,21.006127444642157,0.016357421875,0.00244140625,36,0.0001624635930221,0.0001624635930221,0,0.0001624635930221,69:80;71:68,69:0.0019355161992810899;71:0.0016142329528669452,69:0.0016882910582845245;71:0.0016402679764193906
71,147.91365364583268,0.036376953125,0.002197265625,36,0.0001900008014357,0.0001900008014357,0,0.0001900008014357,72:68;58:68;70:68,72:0.0028185093969733954;58:0.0021415660896072775;70:0.0016142329528669452,72:0.003561779292648559;58:0.0038939560274114937;70:0.0016402679764193906
72,56.99069899522958,0.0224609375,0.0,36,0.0008038568749588,0.0008038568749588,0,0.0008038568749588,73:68;71:68,73:0.0023776547312404084;71:0.0028185093969733954,73:0.004903707060865736;71:0.003561779292648559
73,131.85814209443214,0.03466796875,0.002197265625,36,0.0005250583018051,0.0005250583018051,0,0.0005250583018051,72:68;74:68;79:68,72:0.0023776547312404084;74:0.002454453792756911;79:0.0021020175859602364,72:0.004903707060865736;74:0.0026979112618017165;79:0.0019835291556803414
74,11.412326183045655,0.021484375,0.012451171875,36,0.0001922608339287,0.0001922608339287,0,0.0001922608339287,73:68;75:68,73:0.002454453792756911;75:0.0019440593187404487,73:0.0026979112618017165;75:0.00140691251535488
75,332.2081632060671,0.0078125,0.001953125,36,0.0001670275972412,0.0001670275972412,0,0.0001670275972412,59:68;74:68,59:0.002547656700660733;74:0.0019440593187404487,59:0.0023182674291963024;74:0.00140691251535488
76,26.747317144739903,0.01806640625,0.00537109375,36,0.0004557776450964,0.0004557776450964,0,0.0004557776450964,81:68;61:68,81:0.0027334005219336044;61:0.0019200083401684775,81:0.0028113991933834126;61:0.001913191565285327
